nematode,phylum,class,order,family,genera,species,spe.ID,spe.control,replicate,spe.ID.num,spe.control.number,spe.ID.preference,spe.control.preferece,fold.change
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,3,20,11,0.65,0.35,0.857142857
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,4,34,18,0.65,0.35,0.857142857
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,5,25,17,0.6,0.4,0.5
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,6,12,10,0.55,0.45,0.222222222
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,7,19,16,0.54,0.46,0.173913043
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,8,29,13,0.69,0.31,1.225806452
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,1,31,52,0.37,0.63,-0.412698413
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,2,17,32,0.35,0.65,-0.461538462
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,3,30,54,0.36,0.64,-0.4375
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,4,16,38,0.3,0.7,-0.571428571
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,5,16,39,0.29,0.71,-0.591549296
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,6,21,53,0.28,0.72,-0.611111111
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,7,20,36,0.36,0.64,-0.4375
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae ,aci1,OP50,8,21,57,0.27,0.73,-0.630136986
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,1,21,20,0.51,0.49,0.040816327
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,2,17,20,0.46,0.54,-0.148148148
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,3,47,25,0.65,0.35,0.857142857
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,4,25,22,0.53,0.47,0.127659574
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,5,38,27,0.58,0.42,0.380952381
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,6,30,20,0.6,0.4,0.5
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,7,31,22,0.58,0.42,0.380952381
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli ,ACI10,OP50,8,31,18,0.63,0.37,0.702702703
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,1,23,26,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,2,42,39,0.52,0.48,0.083333333
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,3,61,27,0.69,0.31,1.225806452
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,4,30,26,0.54,0.46,0.173913043
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,5,70,33,0.68,0.32,1.125
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,6,41,59,0.41,0.59,-0.305084746
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,7,33,50,0.4,0.6,-0.333333333
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter vivianii,ACI11,OP50,8,30,34,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,1,32,31,0.51,0.49,0.040816327
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,2,17,35,0.33,0.67,-0.507462687
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,3,82,72,0.53,0.47,0.127659574
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,4,17,26,0.4,0.6,-0.333333333
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,5,39,65,0.38,0.63,-0.396825397
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,6,32,105,0.23,0.77,-0.701298701
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,7,95,157,0.38,0.62,-0.387096774
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax wautersii,aci2,OP50,8,37,102,0.27,0.73,-0.630136986
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,1,146,107,0.58,0.42,0.380952381
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,2,141,81,0.64,0.36,0.777777778
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,3,27,30,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,4,103,59,0.64,0.36,0.777777778
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,5,86,32,0.73,0.27,1.703703704
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,6,43,43,0.5,0.5,0
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,7,120,66,0.65,0.35,0.857142857
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,ACI2,OP50,8,41,10,0.8,0.2,3
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,1,65,104,0.38,0.62,-0.387096774
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,2,16,35,0.31,0.69,-0.550724638
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,3,69,62,0.53,0.47,0.127659574
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,4,56,80,0.41,0.59,-0.305084746
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,5,61,50,0.55,0.45,0.222222222
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,6,44,67,0.4,0.6,-0.333333333
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,7,75,43,0.64,0.36,0.777777778
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,ACI3,OP50,8,49,114,0.3,0.7,-0.571428571
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,1,49,44,0.53,0.47,0.127659574
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,2,27,28,0.49,0.51,-0.039215686
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,3,43,38,0.53,0.47,0.127659574
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,4,34,40,0.46,0.54,-0.148148148
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,5,27,31,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,6,30,38,0.44,0.56,-0.214285714
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,7,38,43,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus ,ACI4,OP50,8,30,39,0.43,0.57,-0.245614035
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,1,11,11,0.5,0.5,0
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,2,116,52,0.69,0.31,1.225806452
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,3,28,11,0.72,0.28,1.571428571
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,4,74,61,0.55,0.45,0.222222222
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,5,44,59,0.43,0.57,-0.245614035
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,6,102,51,0.67,0.33,1.03030303
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,7,62,108,0.36,0.64,-0.4375
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii ,ACI5,OP50,8,135,43,0.76,0.24,2.166666667
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,1,40,23,0.63,0.37,0.702702703
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,2,31,14,0.69,0.31,1.225806452
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,3,48,24,0.67,0.33,1.03030303
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,4,19,8,0.7,0.3,1.333333333
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,5,27,5,0.84,0.16,4.25
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,6,13,15,0.46,0.54,-0.148148148
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,7,16,12,0.57,0.43,0.325581395
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii ,ACI6,OP50,8,39,20,0.66,0.34,0.941176471
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,1,102,35,0.74,0.26,1.846153846
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,2,69,74,0.48,0.52,-0.076923077
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,3,106,52,0.67,0.33,1.03030303
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,4,119,31,0.79,0.21,2.761904762
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,5,91,20,0.82,0.18,3.555555556
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,6,56,32,0.64,0.36,0.777777778
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,7,82,54,0.6,0.4,0.5
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter kookii ,ACI7,OP50,8,74,46,0.62,0.38,0.631578947
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,1,83,43,0.66,0.34,0.941176471
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,2,58,41,0.59,0.41,0.43902439
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,3,64,22,0.74,0.26,1.846153846
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,4,50,25,0.67,0.33,1.03030303
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,5,46,36,0.56,0.44,0.272727273
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,6,51,57,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,7,43,17,0.72,0.28,1.571428571
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,ACI8,OP50,8,59,30,0.66,0.34,0.941176471
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,1,73,22,0.77,0.23,2.347826087
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,2,99,25,0.8,0.2,3
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,3,168,27,0.86,0.14,5.142857143
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,4,45,40,0.53,0.47,0.127659574
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,5,93,39,0.7,0.3,1.333333333
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,6,114,39,0.75,0.25,2
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,7,67,35,0.66,0.34,0.941176471
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii ,ACI9,OP50,8,52,39,0.57,0.43,0.325581395
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,1,28,54,0.34,0.66,-0.484848485
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,2,17,54,0.24,0.76,-0.684210526
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,3,31,71,0.3,0.7,-0.571428571
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,4,17,27,0.39,0.61,-0.360655738
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,5,32,41,0.44,0.56,-0.214285714
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,6,19,55,0.26,0.74,-0.648648649
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,7,17,43,0.28,0.72,-0.611111111
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis ,ADV1,OP50,8,43,54,0.44,0.56,-0.214285714
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,1,22,40,0.35,0.65,-0.461538462
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,2,10,35,0.22,0.78,-0.717948718
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,3,18,34,0.35,0.65,-0.461538462
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,4,18,28,0.39,0.61,-0.360655738
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,5,12,26,0.32,0.68,-0.529411765
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,6,5,21,0.19,0.81,-0.765432099
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,7,4,19,0.17,0.83,-0.795180723
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter bambusae ,ART1,OP50,8,15,24,0.38,0.62,-0.387096774
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,1,20,31,0.39,0.61,-0.360655738
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,2,13,11,0.54,0.46,0.173913043
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,3,10,23,0.3,0.7,-0.571428571
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,4,22,34,0.39,0.61,-0.360655738
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,5,9,16,0.36,0.64,-0.4375
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,6,3,12,0.2,0.8,-0.75
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,7,10,16,0.38,0.62,-0.387096774
C.elegans,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter cupressi ,ART2,OP50,8,17,23,0.43,0.58,-0.25862069
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,1,124,159,0.44,0.56,-0.214285714
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,2,99,156,0.39,0.61,-0.360655738
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,3,63,153,0.29,0.71,-0.591549296
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,4,46,104,0.31,0.69,-0.550724638
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,5,44,92,0.32,0.68,-0.529411765
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,6,37,82,0.31,0.69,-0.550724638
C.elegans,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis ,ART3,OP50,7,26,63,0.29,0.71,-0.591549296
